sample_id	seqnames	start	end	width	strand	score	annotation	gene_seqnames	gene_start	gene_end	gene_width	gene_strand	gene_id	transcript_id	tss_distance	gene_version	gene_name	gene_source	gene_biotype
251-2_S1_L001.insertion_sites.filtered	5	28975634	28975634	1	-	35	Distal Intergenic	5	28661813	28672254	10442	2	ENSMUSG00000002633	ENSMUST00000002708	-303380	5	Shh	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	X	106214727	106214727	1	-	25	Distal Intergenic	20	106218216	106219100	885	2	ENSMUSG00000082630	ENSMUST00000119416	4373	2	Gm14834	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	16	51889083	51889083	1	+	18	Intron (ENSMUST00000114471/ENSMUSG00000022637, intron 3 of 17)	16	51870016	52025748	155733	1	ENSMUSG00000022637	ENSMUST00000227756	19067	12	Cblb	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	4	131557961	131557961	1	-	17	Intron (ENSMUST00000105987/ENSMUSG00000028909, intron 1 of 29)	4	131496809	131565542	68734	2	ENSMUSG00000028909	ENSMUST00000030741	7581	18	Ptpru	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	14	60312510	60312510	1	-	17	Intron (ENSMUST00000080368/ENSMUSG00000021983, intron 1 of 35)	14	59875989	60324283	448295	2	ENSMUSG00000021983	ENSMUST00000080368	11773	17	Atp8a2	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	12	13498860	13498860	1	-	16	Distal Intergenic	12	13505024	13505971	948	2	ENSMUSG00000071414	ENSMUST00000166583	7111	6	Gm6736	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	7	67387500	67387500	1	+	15	Intron (ENSMUST00000208764/ENSMUSG00000030555, intron 5 of 6)	7	67375009	67375762	754	1	ENSMUSG00000030555	ENSMUST00000154697	12491	17	Ttc23	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	8	81022368	81022368	1	-	15	Distal Intergenic	8	81039702	81051937	12236	2	ENSMUSG00000120253	ENSMUST00000242112	29569	1	Gm30660	havana_tagene	lncRNA
251-2_S1_L001.insertion_sites.filtered	11	54646459	54646459	1	+	13	Distal Intergenic	11	54619503	54625149	5647	1	ENSMUSG00000086039	ENSMUST00000147847	26956	2	Gm12227	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	3	79803786	79803786	1	-	13	Distal Intergenic	3	79766600	79794113	27514	2	ENSMUSG00000102191	ENSMUST00000195082	-9673	3	Gm36569	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	10	24712271	24712271	1	-	11	Promoter (<=1kb)	10	24648304	24712123	63820	2	ENSMUSG00000019989	ENSMUST00000020169	-148	9	Enpp3	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	16	77096626	77096626	1	+	11	Intron (ENSMUST00000244279/ENSMUSG00000090386, intron 2 of 4)	16	77126037	77488293	362257	1	ENSMUSG00000090386	ENSMUST00000242335	-29411	12	Mir99ahg	ensembl_havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	18	83587812	83587812	1	-	10	Distal Intergenic	18	83618513	83621182	2670	2	ENSMUSG00000117658	ENSMUST00000237771	33370	2	Gm50417	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	X	168014692	168014692	1	-	10	Distal Intergenic	20	167959110	167970196	11087	2	ENSMUSG00000031354	ENSMUST00000066112	-44496	17	Amelx	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	12	40281949	40281949	1	-	10	Intron (ENSMUST00000169926/ENSMUSG00000001627, intron 2 of 5)	12	40275262	40275781	520	2	ENSMUSG00000113181	ENSMUST00000222014	-6168	2	Gm47954	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	7	73690292	73690292	1	+	9	Distal Intergenic	7	73598171	73607790	9620	1	ENSMUSG00000102384	ENSMUST00000191751	92121	2	Gm38143	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	2	38778725	38778725	1	+	9	Distal Intergenic	2	38752175	38755545	3371	1	ENSMUSG00000107468	ENSMUST00000204297	26550	2	5730507A11Rik	havana	TEC
251-2_S1_L001.insertion_sites.filtered	3	142135877	142135877	1	+	9	Distal Intergenic	3	142199739	142216865	17127	1	ENSMUSG00000105504	ENSMUST00000198803	-63862	5	Gbp5	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	11	53327330	53327330	1	-	9	Distal Intergenic	11	53319780	53321658	1879	2	ENSMUSG00000044894	ENSMUST00000156503	-5672	15	Uqcrq	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	17	66453605	66453605	1	-	8	Distal Intergenic	17	66494653	66494986	334	2	ENSMUSG00000117253	ENSMUST00000233943	41381	2	Gm49930	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	5	51479598	51479598	1	+	8	Distal Intergenic	5	51656870	51658800	1931	1	ENSMUSG00000106575	ENSMUST00000199975	-177272	2	Gm42613	havana	TEC
251-2_S1_L001.insertion_sites.filtered	16	94976852	94976852	1	+	8	Distal Intergenic	16	94903263	94904055	793	1	ENSMUSG00000116667	ENSMUST00000232306	73589	2	Gm49641	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	17	65965764	65965764	1	-	7	Intron (ENSMUST00000070673/ENSMUSG00000056515, intron 6 of 6)	17	65968322	65968573	252	2	ENSMUSG00000117114	ENSMUST00000233942	2809	2	Gm49867	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	11	20865804	20865804	1	-	7	Distal Intergenic	11	20887576	20887701	126	2	ENSMUSG00002075334	ENSMUST00020181786	21897	1	Gm56407	ensembl	miRNA
251-2_S1_L001.insertion_sites.filtered	7	34613301	34613301	1	-	6	Distal Intergenic	7	34643281	34643410	130	2	ENSMUSG00000077469	ENSMUST00000104281	30109	3	Gm25922	ensembl	snoRNA
251-2_S1_L001.insertion_sites.filtered	12	9299519	9299519	1	+	6	Distal Intergenic	12	9421438	9523770	102333	1	ENSMUSG00000113913	ENSMUST00000223136	-121919	2	Gm46323	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	3	40658742	40658742	1	-	6	Distal Intergenic	3	40613297	40613596	300	2	ENSMUSG00000089932	ENSMUST00000161930	-45146	2	Gm16114	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	13	29912750	29912750	1	-	6	Intron (ENSMUST00000140278/ENSMUSG00000006191, intron 5 of 16)	13	29961279	30039414	78136	2	ENSMUSG00000006191	ENSMUST00000124532	126664	18	Cdkal1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	7	80743052	80743052	1	-	5	Distal Intergenic	7	80811145	80811492	348	2	ENSMUSG00000083820	ENSMUST00000118488	68440	2	Ndufs6b	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	13	6606917	6606917	1	+	5	Intron (ENSMUST00000021611/ENSMUSG00000021193, intron 7 of 25)	13	6598271	6606740	8470	1	ENSMUSG00000021193	ENSMUST00000220454	8646	11	Pitrm1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	2	64815698	64815698	1	-	5	Intron (ENSMUST00000028252/ENSMUSG00000026888, intron 2 of 13)	2	64760533	64806113	45581	2	ENSMUSG00000026888	ENSMUST00000156765	-9585	15	Grb14	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	5	58009927	58009927	1	+	5	Intron (ENSMUST00000191837/ENSMUSG00000029108, intron 1 of 2)	5	58057076	58057649	574	1	ENSMUSG00000104564	ENSMUST00000198743	-47149	2	Gm17977	havana	transcribed_processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	5	32850871	32850871	1	+	5	Distal Intergenic	5	32853093	32870368	17276	1	ENSMUSG00000118435	ENSMUST00000238745	-2222	3	Gm50482	havana	unitary_pseudogene
251-2_S1_L001.insertion_sites.filtered	2	9943914	9943914	1	-	5	Intron (ENSMUST00000026888/ENSMUSG00000025782, intron 4 of 6)	2	9920102	9946562	26461	2	ENSMUSG00000025782	ENSMUST00000129720	2648	13	Taf3	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	3	66141392	66141392	1	+	5	Distal Intergenic	3	66127666	66128851	1186	1	ENSMUSG00000027832	ENSMUST00000182521	13726	6	Ptx3	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	1	22626030	22626030	1	-	5	Intron (ENSMUST00000081544/ENSMUSG00000041670, intron 5 of 27)	1	22522235	22551610	29376	2	ENSMUSG00000041670	ENSMUST00000239255	-74420	20	Rims1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	12	3971364	3971364	1	-	5	Distal Intergenic	12	3981533	3982040	508	2	ENSMUSG00000112271	ENSMUST00000220237	10676	2	Gm9088	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	7	75369641	75369641	1	-	5	Distal Intergenic	7	75407007	75407116	110	2	ENSMUSG00002076060	ENSMUST00020181771	37475	1	Gm55660	ensembl	miRNA
251-2_S1_L001.insertion_sites.filtered	3	65543765	65543765	1	-	5	Distal Intergenic	3	65522789	65523595	807	2	ENSMUSG00000103294	ENSMUST00000194259	-20170	2	Gm38233	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	9	114568144	114568144	1	-	5	Distal Intergenic	9	114592360	114604519	12160	2	ENSMUSG00000032436	ENSMUST00000217056	36375	18	Cmtm7	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	3	75563882	75563882	1	+	5	Distal Intergenic	3	75526654	75530667	4014	1	ENSMUSG00000102625	ENSMUST00000192682	37228	2	Gm37672	havana	TEC
251-2_S1_L001.insertion_sites.filtered	12	108416955	108416955	1	+	4	Intron (ENSMUST00000138456/ENSMUSG00000058070, intron 1 of 6)	12	108438112	108505823	67712	1	ENSMUSG00000058070	ENSMUST00000155544	-21157	15	Eml1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	19	24738897	24738897	1	+	4	Distal Intergenic	19	24651372	24659597	8226	1	ENSMUSG00000048572	ENSMUST00000057243	87525	6	Tmem252	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	5	26123882	26123882	1	+	4	Distal Intergenic	5	26161624	26162719	1096	1	ENSMUSG00000104651	ENSMUST00000199646	-37742	2	Gm21168	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	13	108392206	108392206	1	-	4	Distal Intergenic	13	108369623	108370089	467	2	ENSMUSG00000114507	ENSMUST00000225536	-22117	2	Gm30747	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	15	100857142	100857142	1	+	4	Intron (ENSMUST00000201518/ENSMUSG00000023033, intron 5 of 14)	15	100854965	100899960	44996	1	ENSMUSG00000023033	ENSMUST00000202702	2177	15	Scn8a	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	12	24678439	24678439	1	+	4	Distal Intergenic	12	24701273	24712788	11516	1	ENSMUSG00000020653	ENSMUST00000020982	-22834	13	Klf11	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	7	74303170	74303170	1	-	4	Distal Intergenic	7	73945119	74204528	259410	2	ENSMUSG00000025790	ENSMUST00000107453	-98642	15	Slco3a1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	11	54302839	54302839	1	+	4	Intron (ENSMUST00000143919/ENSMUSG00000020332, intron 11 of 12)	11	54294966	54295263	298	1	ENSMUSG00000084212	ENSMUST00000117995	7873	2	Gm12225	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	18	75497073	75497073	1	-	4	Exon (ENSMUST00000249573/ENSMUSG00000092569, exon 4 of 5)	18	75491711	75497898	6188	2	ENSMUSG00000092569	ENSMUST00000249487	825	4	Gm20544	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	X	42127076	42127076	1	-	4	Intron (ENSMUST00000115058/ENSMUSG00000016150, intron 3 of 30)	20	41616743	42256694	639952	2	ENSMUSG00000016150	ENSMUST00000115058	129618	16	Tenm1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	10	43548441	43548441	1	+	4	Intron (ENSMUST00000215599/ENSMUSG00000075184, intron 3 of 4)	10	43535314	43539494	4181	1	ENSMUSG00000111565	ENSMUST00000214968	13127	2	Gm34481	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	5	107686603	107686603	1	+	4	Intron (ENSMUST00000143074/ENSMUSG00000106631, intron 1 of 3)	5	107682623	107696888	14266	1	ENSMUSG00000089798	ENSMUST00000162591	3980	11	1700028K03Rik	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	8	79924109	79924109	1	+	4	Distal Intergenic	8	79905604	79916390	10787	1	ENSMUSG00000071064	ENSMUST00000129613	18505	16	Zfp827	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	X	129399411	129399411	1	-	4	Distal Intergenic	20	129413863	129414538	676	2	ENSMUSG00000083920	ENSMUST00000117820	15127	2	Gm14987	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	3	72967745	72967745	1	+	4	Distal Intergenic	3	72973623	73105747	132125	1	ENSMUSG00000103428	ENSMUST00000241659	-5878	3	Gm20754	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	18	24341802	24341802	1	+	4	Intron (ENSMUST00000000430/ENSMUSG00000000420, intron 1 of 12)	18	24339016	24387687	48672	1	ENSMUSG00000000420	ENSMUST00000164998	2786	16	Galnt1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	6	54221208	54221208	1	+	3	Intron (ENSMUST00000046856/ENSMUSG00000004633, intron 6 of 12)	6	54241843	54277278	35436	1	ENSMUSG00000004633	ENSMUST00000146114	-20635	18	Chn2	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	14	4925777	4925777	1	-	3	Distal Intergenic	14	4506571	4809435	302865	2	ENSMUSG00000021779	ENSMUST00000224470	-116342	20	Thrb	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	18	5707486	5707486	1	+	3	Intron (ENSMUST00000025081/ENSMUSG00000024238, intron 2 of 7)	18	5731081	5772804	41724	1	ENSMUSG00000024238	ENSMUST00000177030	-23595	16	Zeb1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	18	56763218	56763218	1	+	3	Distal Intergenic	18	56800850	56801294	445	1	ENSMUSG00000118275	ENSMUST00000235398	-37632	2	Gm50289	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	X	151148720	151148720	1	-	3	Intron (ENSMUST00000070316/ENSMUSG00000056679, intron 2 of 2)	20	151150012	151151700	1689	2	ENSMUSG00000056679	ENSMUST00000137840	2980	14	Gpr173	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	10	5480382	5480382	1	+	3	Distal Intergenic	10	5543775	5556904	13130	1	ENSMUSG00000046916	ENSMUST00000051809	-63393	10	Myct1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	19	25589251	25589251	1	+	3	Intron (ENSMUST00000048935/ENSMUSG00000042372, intron 1 of 1)	19	25587901	25601285	13385	1	ENSMUSG00000042372	ENSMUST00000048935	1350	6	Dmrt3	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	7	128153947	128153947	1	-	3	Distal Intergenic	7	128124277	128125186	910	2	ENSMUSG00000120564	ENSMUST00000244197	-28761	1	4921520J07Rik	havana_tagene	lncRNA
251-2_S1_L001.insertion_sites.filtered	6	47377784	47377784	1	-	3	Distal Intergenic	6	47409060	47410023	964	2	ENSMUSG00000107853	ENSMUST00000203098	32239	2	Gm18584	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	16	87451720	87451720	1	+	3	Distal Intergenic	16	87495833	87530234	34402	1	ENSMUSG00000025612	ENSMUST00000026703	-44113	6	Bach1	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	17	71619367	71619367	1	+	3	Distal Intergenic	17	71622424	71646774	24351	1	ENSMUSG00000117137	ENSMUST00000233188	-3057	2	4930471L23Rik	havana	lncRNA
251-2_S1_L001.insertion_sites.filtered	6	95525912	95525912	1	-	3	Intron (ENSMUST00000204224/ENSMUSG00000061838, intron 9 of 10)	6	95543466	95620990	77525	2	ENSMUSG00000061838	ENSMUST00000203071	95078	8	Suclg2	ensembl_havana	protein_coding
251-2_S1_L001.insertion_sites.filtered	10	29670270	29670270	1	+	3	Distal Intergenic	10	29657407	29657995	589	1	ENSMUSG00000111427	ENSMUST00000215034	12863	2	Gm6390	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	10	12713748	12713748	1	+	3	Distal Intergenic	10	12721832	12722285	454	1	ENSMUSG00000112698	ENSMUST00000219425	-8084	2	Gm7525	havana	processed_pseudogene
251-2_S1_L001.insertion_sites.filtered	1	55568292	55568292	1	+	2	Intron (ENSMUST00000042986/ENSMUSG00000038349, intron 1 of 5)	1	55598619	55600214	1596	1	ENSMUSG00000102831	ENSMUST00000193032	-30327	2	Gm37382	havana	TEC
