sample_name	seqnames	start	end	width	strand	score	annotation_detailed	annotation_simple	tss_distance	gene_seqnames	gene_start	gene_end	gene_width	gene_strand	gene_id	transcript_id	species	sample_source	gene_marking_percent
Mouse BM (0.00%)	3	36696165	36696165	1	+	6	Promoter (1-2kb)	Promoter	-1396	3	36692505	36694769	2265	2	ENSMUSG00000027716	ENSMUST00000133542	Mmusculus	bm	0
Mouse BM (0.00%)	5	20354201	20354201	1	-	2	Intron (ENSMUST00000197354/ENSMUSG00000040003, intron 3 of 21)	Intron	-34756	5	20319318	20319445	128	2	ENSMUSG00000077171	ENSMUST00000103983	Mmusculus	bm	0
Mouse BM (0.00%)	X	128786697	128786697	1	-	2	Intron (ENSMUST00000127577/ENSMUSG00000034480, intron 4 of 22)	Intron	-86585	20	128873282	128943279	69998	1	ENSMUSG00000034480	ENSMUST00000133457	Mmusculus	bm	0
Mouse BM (25.00%)	5	28975634	28975634	1	-	73	Intron (ENSMUST00000180878/ENSMUSG00000097726, intron 3 of 6)	Intron	193363	5	28782271	28783958	1688	1	ENSMUSG00000104587	ENSMUST00000197020	Mmusculus	bm	25
Mouse BM (25.00%)	X	106214727	106214727	1	-	57	Exon (ENSMUST00000147521/ENSMUSG00000054293, exon 2 of 2)	Exon	4373	20	106218216	106219100	885	2	ENSMUSG00000082630	ENSMUST00000119416	Mmusculus	bm	25
Mouse BM (25.00%)	16	51889083	51889083	1	+	45	Intron (ENSMUST00000114471/ENSMUSG00000022637, intron 3 of 17)	Intron	19067	16	51870016	52025748	155733	1	ENSMUSG00000022637	ENSMUST00000227756	Mmusculus	bm	25
Mouse BM (25.00%)	3	142135877	142135877	1	+	44	Distal Intergenic	Distal Intergenic	-34423	3	141945351	142101454	156104	2	ENSMUSG00000028273	ENSMUST00000029941	Mmusculus	bm	25
Mouse BM (25.00%)	8	81022368	81022368	1	-	44	Distal Intergenic	Distal Intergenic	29569	8	81039702	81051937	12236	2	ENSMUSG00000120253	ENSMUST00000242112	Mmusculus	bm	25
Mouse BM (25.00%)	12	13498860	13498860	1	-	42	Intron (ENSMUST00000042953/ENSMUSG00000020576, intron 38 of 51)	Intron	7111	12	13505024	13505971	948	2	ENSMUSG00000071414	ENSMUST00000166583	Mmusculus	bm	25
Mouse BM (25.00%)	4	131557961	131557961	1	-	40	Intron (ENSMUST00000105987/ENSMUSG00000028909, intron 1 of 29)	Intron	7581	4	131496809	131565542	68734	2	ENSMUSG00000028909	ENSMUST00000030741	Mmusculus	bm	25
Mouse BM (25.00%)	10	24712271	24712271	1	-	34	Promoter (<=1kb)	Promoter	-148	10	24648304	24712123	63820	2	ENSMUSG00000019989	ENSMUST00000020169	Mmusculus	bm	25
Mouse BM (25.00%)	11	54646459	54646459	1	+	34	Intron (ENSMUST00000064104/ENSMUSG00000052298, intron 2 of 5)	Intron	4706	11	54631289	54651165	19877	2	ENSMUSG00000052298	ENSMUST00000123424	Mmusculus	bm	25
Mouse BM (25.00%)	14	60312510	60312510	1	-	34	Intron (ENSMUST00000080368/ENSMUSG00000021983, intron 1 of 35)	Intron	11773	14	59875989	60324283	448295	2	ENSMUSG00000021983	ENSMUST00000080368	Mmusculus	bm	25
Mouse BM (25.00%)	3	79803786	79803786	1	-	32	Intron (ENSMUST00000118853/ENSMUSG00000027955, intron 2 of 4)	Intron	-9673	3	79766600	79794113	27514	2	ENSMUSG00000102191	ENSMUST00000195082	Mmusculus	bm	25
Mouse BM (25.00%)	17	65965764	65965764	1	-	29	Intron (ENSMUST00000070673/ENSMUSG00000056515, intron 6 of 6)	Intron	2809	17	65968322	65968573	252	2	ENSMUSG00000117114	ENSMUST00000233942	Mmusculus	bm	25
Mouse BM (25.00%)	7	67387500	67387500	1	+	28	Intron (ENSMUST00000208764/ENSMUSG00000030555, intron 5 of 6)	Intron	2842	7	67382498	67390342	7845	2	ENSMUSG00000030554	ENSMUST00000207102	Mmusculus	bm	25
Mouse BM (25.00%)	3	40658742	40658742	1	-	23	3' UTR	3' UTR	-4543	3	40663285	40680527	17243	1	ENSMUSG00000069041	ENSMUST00000091184	Mmusculus	bm	25
Mouse BM (25.00%)	11	20865804	20865804	1	-	23	Distal Intergenic	Distal Intergenic	21897	11	20887576	20887701	126	2	ENSMUSG00002075334	ENSMUST00020181786	Mmusculus	bm	25
Mouse BM (25.00%)	12	40281949	40281949	1	-	23	Intron (ENSMUST00000169926/ENSMUSG00000001627, intron 2 of 5)	Intron	-6168	12	40275262	40275781	520	2	ENSMUSG00000113181	ENSMUST00000222014	Mmusculus	bm	25
Mouse BM (25.00%)	16	94976852	94976852	1	+	23	Distal Intergenic	Distal Intergenic	-4483	16	94970697	94972369	1673	2	ENSMUSG00000116601	ENSMUST00000231527	Mmusculus	bm	25
Mouse BM (25.00%)	18	75497073	75497073	1	-	22	Exon (ENSMUST00000249573/ENSMUSG00000092569, exon 4 of 5)	Exon	825	18	75491711	75497898	6188	2	ENSMUSG00000092569	ENSMUST00000249487	Mmusculus	bm	25
Mouse BM (25.00%)	5	32850871	32850871	1	+	21	Distal Intergenic	Distal Intergenic	-2222	5	32853093	32870368	17276	1	ENSMUSG00000118435	ENSMUST00000238745	Mmusculus	bm	25
Mouse BM (25.00%)	13	6606917	6606917	1	+	20	Intron (ENSMUST00000021611/ENSMUSG00000021193, intron 7 of 25)	Intron	8646	13	6598271	6606740	8470	1	ENSMUSG00000021193	ENSMUST00000220454	Mmusculus	bm	25
Mouse BM (25.00%)	16	77096626	77096626	1	+	19	Intron (ENSMUST00000244279/ENSMUSG00000090386, intron 2 of 4)	Intron	5822	16	77099152	77102448	3297	2	ENSMUSG00000102289	ENSMUST00000194532	Mmusculus	bm	25
Mouse BM (25.00%)	2	64815698	64815698	1	-	18	Intron (ENSMUST00000028252/ENSMUSG00000026888, intron 2 of 13)	Intron	-9585	2	64760533	64806113	45581	2	ENSMUSG00000026888	ENSMUST00000156765	Mmusculus	bm	25
Mouse BM (25.00%)	3	65543765	65543765	1	-	18	Distal Intergenic	Distal Intergenic	-20170	3	65522789	65523595	807	2	ENSMUSG00000103294	ENSMUST00000194259	Mmusculus	bm	25
Mouse BM (25.00%)	3	125875459	125875459	1	-	18	Distal Intergenic	Distal Intergenic	70913	3	125946105	125946372	268	2	ENSMUSG00002076235	ENSMUST00020182072	Mmusculus	bm	25
Mouse BM (25.00%)	2	9943914	9943914	1	-	17	Intron (ENSMUST00000026888/ENSMUSG00000025782, intron 4 of 6)	Intron	2648	2	9920102	9946562	26461	2	ENSMUSG00000025782	ENSMUST00000129720	Mmusculus	bm	25
Mouse BM (25.00%)	18	24341802	24341802	1	+	17	Intron (ENSMUST00000000430/ENSMUSG00000000420, intron 1 of 12)	Intron	2786	18	24339016	24387687	48672	1	ENSMUSG00000000420	ENSMUST00000164998	Mmusculus	bm	25
